from,to,weight
*O,*OC,2273
*O,*OC,2273
*O,*N,958
*O,*N,958
*O,*CO,301
*O,*CO,301
*O,*OC(C)=O,200
*O,*C(=O)NO,89
*OC,*Cl,3455
*OC,*Cl,3455
*OC,*O,2273
*OC,*O,2273
*OC,*OCC,788
*OC,*N(C)C,491
*OC,*N(C)C,491
*OC,*S(C)(=O)=O,332
*OC,*S(C)(=O)=O,332
*N,*O,958
*N,*O,958
*N,*NC,305
*N,*NC,305
*N,*NC(C)=O,300
*N,*NC(C)=O,300
*N,*CN,138
*N,*CN,138
*N,*NCc1ccccc1,104
*N,*NCc1ccccc1,104
*Cl,*F,4152
*Cl,*F,4152
*Cl,*OC,3455
*Cl,*OC,3455
*Cl,*Br,2208
*Cl,*C(F)(F)F,1750
*Cl,*C(F)(F)F,1750
*Cl,*C#N,1232
*Cl,*C#N,1232
*F,*Cl,4152
*F,*Cl,4152
*F,*B(O)O,60
*F,*SC(F)(F)F,23
*F,*B1OC(C)(C)C(C)(C)O1,19
*F,*C(F)(F)P(=O)(O)O,17
*CC,*C(C)C,816
*CC,*C(C)C,816
*CC,*CCC,763
*CC,*C1CC1,420
*CC,*C1CC1,420
*CC,*CCCC,383
*CC,*CCCC,383
*CC,*C=C,156
*C#N,*Cl,1232
*C#N,*Cl,1232
*C#N,*C(N)=O,339
*C#N,*C(N)=O,339
*C#N,*C=NO,24
*C(=O)O,*Cl,579
*C(=O)O,*Cl,579
*C(=O)O,*C(=O)OC,334
*C(=O)O,*CC(=O)O,201
*C(=O)O,*CC(=O)O,201
*C(=O)O,*C(=O)OCC,175
*C(=O)O,*c1nnn[nH]1,89
*Br,*Cl,2208
*Br,*Cl,2208
*Br,*CNC1CC1c1ccccc1,8
*C(F)(F)F,*Cl,1750
*C(F)(F)F,*Cl,1750
*C(F)(F)F,*C(F)F,65
*C(F)(F)F,*c1nc2cc(C(N)=O)ccc2[nH]1,14
*C(F)(F)F,*Nc1ccccc1C(N)=O,12
*C(C)C,*CC,816
*C(C)C,*CC,816
*C(C)C,*C1CCCCC1,273
*C(C)C,*C1CCCCC1,273
*C(C)C,*CC(C)C,262
*C(C)C,*C(C)CC,85
*Cc1ccccc1,*CCc1ccccc1,346
*Cc1ccccc1,*CCc1ccccc1,346
*Cc1ccccc1,*Cc1ccc(OC)cc1,158
*Cc1ccccc1,*Cc1ccc(F)cc1,148
*Cc1ccccc1,*Cc1ccc(Cl)cc1,124
*Cc1ccccc1,*CC1CCCCC1,121
*c1cccnc1,*c1ccncc1,490
*c1cccnc1,*c1ccncc1,490
*c1cccnc1,*c1ccccn1,359
*c1cccnc1,*c1ccccn1,359
*c1cccnc1,*c1cncnc1,165
*c1cccnc1,*c1cnn(C)c1,89
*c1cccnc1,*c1cnn(C)c1,89
*c1cccnc1,*c1ccc(OC)nc1,78
*c1ccncc1,*c1cccnc1,490
*c1ccncc1,*c1cccnc1,490
*c1ccncc1,*c1ccnc(C)c1,51
*c1ccncc1,*c1ccncn1,48
*c1ccncc1,*c1ccc(C(N)=O)cc1,33
*c1ccncc1,*c1ccnc(OC)c1,27
*CCC,*CC,763
*CCC,*CC,763
*CCC,*CCCCC,172
*N(C)C,*OC,491
*N(C)C,*OC,491
*N(C)C,*N(CC)CC,127
*N(C)C,*NCCOC,43
*OCC,*OC,788
*OCC,*OC,788
*C(N)=O,*C#N,339
*C(N)=O,*C#N,339
*C(N)=O,*C(=O)NC,173
*C(N)=O,*C(=O)NC,173
*C(N)=O,*C(=O)NC1CC1,44
*CO,*O,301
*CO,*O,301
*CO,*C(C)O,75
*CO,*C(C)(C)O,53
*CO,*CNC(C)=O,36
*CO,*COCc1ccccc1,22
*N1CCOCC1,*N1CCCCC1,323
*N1CCOCC1,*N1CCCCC1,323
*N1CCOCC1,*N1CCN(C)CC1,293
*N1CCOCC1,*N1CCN(C)CC1,293
*N1CCOCC1,*N1CCC(O)CC1,70
*N1CCOCC1,*N1CCN(C(C)=O)CC1,59
*N1CCOCC1,*N1CCS(=O)(=O)CC1,46
*[N+](=O)[O-],*Cl,1088
*[N+](=O)[O-],*Cl,1088
*C(C)(C)C,*Cl,382
*C(C)(C)C,*Cl,382
*C(C)(C)C,*C(C)(C)CO,19
*c1ccc(OC)cc1,*c1ccc(F)cc1,356
*c1ccc(OC)cc1,*c1ccc(F)cc1,356
*c1ccc(OC)cc1,*c1cccc(OC)c1,276
*c1ccc(OC)cc1,*c1cccc(OC)c1,276
*c1ccc(OC)cc1,*c1ccccc1OC,204
*c1ccc(OC)cc1,*c1ccc(C(F)(F)F)cc1,181
*c1ccc(OC)cc1,*c1ccc(C(F)(F)F)cc1,181
*c1ccc(OC)cc1,*c1ccc(C#N)cc1,150
*c1ccc(F)cc1,*c1ccc(Cl)cc1,401
*c1ccc(F)cc1,*c1ccc(Cl)cc1,401
*c1ccc(F)cc1,*c1ccc(OC)cc1,356
*c1ccc(F)cc1,*c1ccc(OC)cc1,356
*c1ccc(F)cc1,*c1cccc(F)c1,265
*c1ccc(F)cc1,*c1ccccc1F,230
*c1ccc(F)cc1,*c1ccc(F)c(F)c1,92
*C1CCCCC1,*C(C)C,273
*C1CCCCC1,*C(C)C,273
*C1CCCCC1,*C1CCCC1,245
*C1CCCCC1,*C1CCOCC1,112
*C1CCCCC1,*C1CCOCC1,112
*C1CCCCC1,*C12CC3CC(CC(C3)C1)C2,52
*CC(=O)O,*C(=O)O,201
*CC(=O)O,*C(=O)O,201
*CC(=O)O,*CCC(=O)O,112
*CC(=O)O,*CCC(=O)O,112
*CC(=O)O,*CC(N)=O,69
*CC(=O)O,*CC(=O)OC,41
*CC(=O)O,*C(C)C(=O)O,31
*c1ccccn1,*c1cccnc1,359
*c1ccccn1,*c1cccnc1,359
*c1ccccn1,*c1cnccn1,93
*c1ccccn1,*c1nccs1,92
*c1ccccn1,*c1ncccn1,83
*c1ccccn1,*c1cccc(C)n1,50
*C(=O)OC,*C(=O)O,334
*C(=O)OC,*C(=O)O,334
*CCCC,*CC,383
*CCCC,*CC,383
*CCCC,*CCCCCC,119
*CCCC,*CCC(C)C,60
*CCCC,*CCCCCCCC,52
*NC(C)=O,*N,300
*NC(C)=O,*N,300
*NC(C)=O,*NC(=O)CC,63
